protocol,image_count,threshold,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1_score,accepted_image_count,uncertain_image_count,coverage,uncertain_rate,accepted_accuracy,accepted_precision,accepted_recall,accepted_f1_score,uncertain_error_rate
unseen,6874,0.81,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,5572,1302,0.8105906313645621,0.1894093686354379,0.958183776022972,0.9549295774647887,0.9514835605453087,0.9532034545089375,0.3333333333333333
unseen,6874,0.82,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,5507,1367,0.801134710503346,0.19886528949665405,0.959324496095878,0.9563977180114099,0.9525162337662337,0.9544530296868646,0.324067300658376
unseen,6874,0.83,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,5419,1455,0.7883328484143148,0.2116671515856852,0.9612474626314819,0.9576131687242798,0.9560394412489729,0.9568256578947368,0.3140893470790378
unseen,6874,0.84,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,5344,1530,0.7774221704975269,0.2225778295024731,0.9625748502994012,0.9593698175787728,0.9577814569536424,0.9585749792874897,0.30522875816993467
unseen,6874,0.85,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,5271,1603,0.7668024439918534,0.23319755600814665,0.9637639916524379,0.960167714884696,0.9597652975691534,0.9599664640536575,0.29694323144104806
unseen,6874,0.86,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,5167,1707,0.7516729706139075,0.24832702938609252,0.9663247532417263,0.963404255319149,0.9625850340136054,0.9629944704381115,0.2888107791446983
unseen,6874,0.87,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,5069,1805,0.7374163514693046,0.2625836485306954,0.9680410337344644,0.9653529666522304,0.9645175248810038,0.964935064935065,0.27977839335180055
unseen,6874,0.88,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,4965,1909,0.7222868780913587,0.2777131219086413,0.9691842900302114,0.9665050683120318,0.966079295154185,0.9662921348314607,0.26925091671031953
unseen,6874,0.89,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,4834,2040,0.7032295606633692,0.2967704393366308,0.9704178733967729,0.9684115523465704,0.9671022983325822,0.9677564825253664,0.2568627450980392
unseen,6874,0.9,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,4705,2169,0.6844631946464941,0.315536805353506,0.9732199787460148,0.9709141274238227,0.9709141274238227,0.9709141274238227,0.24942369755647764
unseen,6874,0.91,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,4565,2309,0.66409659586849,0.33590340413151004,0.9734939759036144,0.9704621248213435,0.9718511450381679,0.9711561382598332,0.2364660025985275
unseen,6874,0.92,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,4388,2486,0.6383473959848706,0.3616526040151295,0.9747037374658158,0.9710867397806581,0.9735132433783108,0.9722984776640878,0.2236524537409493
unseen,6874,0.93,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,4185,2689,0.6088158277567646,0.3911841722432354,0.9770609318996416,0.9756871035940803,0.9736286919831224,0.9746568109820486,0.2123465972480476
unseen,6874,0.94,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,3986,2888,0.5798661623508874,0.4201338376491126,0.979177119919719,0.9770050476724621,0.976457399103139,0.976731146621811,0.20221606648199447
unseen,6874,0.95,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,3728,3146,0.542333430317137,0.45766656968286296,0.98068669527897,0.9780621572212066,0.9780621572212066,0.9780621572212066,0.1891290527654164
unseen,6874,0.96,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,3431,3443,0.49912714576665695,0.500872854233343,0.9810550859807636,0.9787087912087912,0.9766963673749143,0.9777015437392796,0.17484751670055185
unseen,6874,0.97,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,3092,3782,0.44981088158277566,0.5501891184172243,0.9838292367399741,0.98114689709348,0.9796078431372549,0.9803767660910518,0.1631411951348493
unseen,6874,0.98,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,2619,4255,0.38100087285423334,0.6189991271457667,0.9873997709049256,0.9814453125,0.9862610402355251,0.9838472834067548,0.1490011750881316
unseen,6874,0.99,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,1994,4880,0.29007855688100087,0.7099214431189991,0.9924774322968907,0.9823848238482384,0.9972489683631361,0.9897610921501706,0.13360655737704918
