protocol,image_count,confidence_threshold,distance_threshold,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1_score,accepted_image_count,uncertain_image_count,coverage,uncertain_rate,mean_confidence,mean_distance,accepted_accuracy,accepted_precision,accepted_recall,accepted_f1_score,uncertain_error_rate
standard,10725,0.51,8.338001,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,9570,1155,0.8923076923076924,0.1076923076923077,0.8692758679389954,5.500675201416016,0.8960292580982236,0.9215498684525233,0.852433628318584,0.8856453281232042,0.12034632034632034
standard,10725,0.51,8.871479,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,9784,941,0.9122610722610722,0.08773892773892773,0.8692758679389954,5.500675201416016,0.8973834832379395,0.9232558139534883,0.8548664944013781,0.8877459749552773,0.1381509032943677
standard,10725,0.51,9.581825,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,9997,728,0.9321212121212121,0.06787878787878789,0.8692758679389954,5.500675201416016,0.898369510853256,0.9245069145318522,0.856542743121193,0.8892280854775403,0.1620879120879121
standard,10725,0.51,10.36114,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,10211,514,0.9520745920745921,0.04792540792540793,0.8692758679389954,5.500675201416016,0.8976593869356576,0.9248941386226878,0.8542610127624537,0.8881754949170679,0.17315175097276264
standard,10725,0.51,13.229531,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,10424,301,0.9719347319347319,0.028065268065268066,0.8692758679389954,5.500675201416016,0.8968726016884113,0.9256108202443281,0.8525215993570424,0.8875640623365757,0.19601328903654486
standard,10725,0.51,46.826202,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,10638,87,0.9918881118881119,0.008111888111888113,0.8692758679389954,5.500675201416016,0.8971611205113743,0.9253923887336056,0.8521084933676499,0.8872397443826016,0.45977011494252873
standard,10725,0.52,2.907174,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,1073,9652,0.10004662004662004,0.89995337995338,0.8692758679389954,5.500675201416016,0.9627213420316869,0.9416666666666667,0.773972602739726,0.849624060150376,0.11334438458350601
standard,10725,0.52,3.045367,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,1287,9438,0.12,0.88,0.8692758679389954,5.500675201416016,0.9588189588189588,0.943502824858757,0.7952380952380952,0.8630490956072352,0.11453697817334181
standard,10725,0.52,3.181205,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,1502,9223,0.14004662004662005,0.85995337995338,0.8692758679389954,5.500675201416016,0.9527296937416777,0.9475806451612904,0.8020477815699659,0.8687615526802218,0.11525533991109184
standard,10725,0.52,3.310992,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,1716,9009,0.16,0.84,0.8692758679389954,5.500675201416016,0.9527972027972028,0.9493670886075949,0.821917808219178,0.8810572687224669,0.11688311688311688
standard,10725,0.52,3.436845,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,1931,8794,0.18004662004662006,0.8199533799533799,0.8692758679389954,5.500675201416016,0.9502848265147592,0.9411764705882353,0.8421052631578947,0.8888888888888888,0.11803502387991813
standard,10725,0.52,3.5478,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,2145,8580,0.2,0.8,0.8692758679389954,5.500675201416016,0.9491841491841492,0.937246963562753,0.8558225508317929,0.8946859903381642,0.11946386946386946
standard,10725,0.52,3.679165,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,2360,8365,0.22004662004662004,0.77995337995338,0.8692758679389954,5.500675201416016,0.9461864406779661,0.9328743545611016,0.8603174603174604,0.8951279933938894,0.12038254632396891
